time,pressure1, temperature1,pressure2,temperature2,x,y,z,counter,session
11785.4333,-3.7333,20.48,0.0,21.12,0,0,512,16,80
11785.6333,-14.9333,20.48,0.0,21.12,0,2,576,16,80
11785.8333,-22.9333,20.48,0.0,21.12,0,0,352,16,80
11786.0333,-25.6,20.49,0.0,21.12,4,34,352,24,80
11786.2333,-26.0667,20.48,0.0,21.165,0,0,512,0,80
11786.4333,-20.7333,20.51,0.0,21.12,0,0,512,0,80
11786.6333,-21.8667,20.54,0.0,21.16,2,32,516,128,80
11786.8333,-18.1333,20.48,0.0,21.165,0,0,512,128,80
11787.0333,0.0,20.56,0.0,21.2,0,20,512,128,80
11787.2333,0.1,20.48,0.0,21.12,0,2,544,128,80
11787.4333,0.0,20.48,0.0167,21.12,0,2,513,128,80
11787.6333,0.6,20.48,0.0,20.48,0,16,512,128,80
11787.8333,0.0667,20.48,0.0,21.12,0,0,512,128,80
11788.0333,0.7333,20.51,0.0167,21.12,2,0,512,128,80
11788.2333,0.6,20.48,0.0,20.48,0,4,512,128,80
11788.4333,0.5333,20.49,0.0,21.12,0,0,516,128,80
11788.6333,0.0,20.48,0.0,21.16,8,24,512,128,80
11788.8333,-4.8,20.48,0.0,20.48,0,32,512,128,80
11789.0333,-6.4,20.49,0.0,20.48,0,0,516,128,80
11789.2333,-8.0,20.48,0.0,20.48,0,32,512,136,80
11789.4333,-12.2667,20.48,0.0,21.12,0,32,512,128,80
11789.6333,-11.6333,20.48,0.0167,21.12,4,32,512,128,80
11789.8333,-9.6,20.49,0.0,20.48,0,32,512,128,80
11790.0333,-9.0667,20.48,0.0,21.125,0,32,512,128,80
11790.2333,-7.4667,20.49,0.0167,21.12,0,32,512,128,80
11790.4333,0.0,20.49,0.0,21.12,0,0,512,128,80
11790.6333,2.6667,20.49,0.0,20.48,4,0,512,128,80
11790.8333,1.0667,20.48,0.0,21.165,0,33,257,144,80
11791.0333,0.0,20.48,0.0,21.12,0,32,518,144,80
11791.2333,-0.5333,20.48,0.0,21.12,4,32,512,144,80
11791.4333,-0.5333,20.48,0.0,20.48,0,16,512,144,80
11791.6333,-0.5333,20.48,0.0167,21.14,0,16,545,144,80
11791.8333,0.0,20.49,0.0,21.2,0,16,512,144,80
11792.0333,0.0,20.49,0.0,21.12,0,0,544,144,80
11792.2333,0.6667,20.52,0.0,21.16,0,16,512,144,80
11792.4333,0.5333,20.49,0.0,21.12,2,0,512,152,80
11792.6333,0.5333,20.49,0.0,21.16,0,4,544,128,80
11792.8333,0.5333,20.5,0.0,21.16,0,16,512,128,80
11793.0333,0.5333,20.48,0.0,20.48,0,0,320,160,80
11793.2333,0.5333,20.48,0.0,20.48,0,0,520,160,80
11793.4333,-0.5333,20.48,0.0,21.12,0,0,512,160,80
11793.6333,-1.6,20.48,0.0,21.12,0,0,516,0,80
11793.8333,-0.5333,20.51,0.0,20.48,0,0,544,0,80
11794.0333,-0.5333,20.48,0.0,21.16,0,0,544,0,80
11794.2333,-0.5333,20.49,0.0,21.12,4,0,544,0,80
11794.4333,-0.5333,20.48,0.0,21.12,0,32,576,0,80
11794.6333,-0.5333,20.48,0.0,21.14,0,0,548,0,80
11794.8333,-0.5333,20.48,0.0,21.2,4,0,576,0,80
11795.0333,-18.1333,20.48,0.0,21.16,0,0,514,0,80
11795.2333,7.4667,20.48,0.0,21.12,0,0,544,0,80
11795.4333,12.2667,20.51,0.0,20.48,0,0,544,0,80
11795.6333,12.3,20.49,0.0,21.2,0,0,512,8,80
11795.8333,13.3333,20.49,0.0,20.48,2,1,512,0,80
11796.0333,14.9333,20.48,0.0,21.125,0,0,512,0,80
11796.2333,15.5333,20.5,0.0,21.125,2,0,514,0,80
11796.4333,0.5333,20.52,0.0,21.12,4,4,512,0,80
11796.6333,0.0,20.49,0.0,21.2,0,0,520,0,80
11796.8333,0.2667,20.48,0.0,21.2,0,0,512,0,80
11797.0333,0.5333,20.48,0.0,21.2,0,0,513,0,80
11797.2333,0.0,20.5,0.0167,21.12,4,16,512,16,80
11797.4333,0.1333,20.48,0.0,21.12,0,8,512,16,80
11797.6333,0.0,20.52,0.0,21.12,0,16,512,16,80
11797.8333,0.0,20.49,0.0,21.12,0,0,512,16,80
11798.0333,-3.7333,20.48,0.0167,21.16,0,0,512,16,80
11798.2333,-6.4,20.48,0.0,21.16,0,0,576,16,80
11798.4333,-8.5333,20.48,0.0,21.125,0,0,512,16,80
11798.6333,-26.1333,20.52,0.0,21.2,0,0,512,16,80
11798.8333,-43.7333,20.48,0.0,21.12,1,0,512,24,80
11799.0333,-56.5333,20.48,0.0,20.48,4,1,578,0,80
11799.2333,-48.0,20.48,0.0,20.48,0,0,516,0,80
11799.4333,-21.3333,20.48,0.0,21.2,0,24,512,0,80
11799.6333,15.4667,20.48,0.0,21.2,0,32,512,0,80
11799.8333,20.2667,20.49,0.0,20.48,0,0,512,0,80
11800.0333,19.7333,20.56,0.0,21.12,8,0,512,0,80
11800.2333,20.8333,20.5,0.0,20.48,0,0,512,0,80
11800.4333,24.5667,20.48,0.0,21.12,1,8,512,0,80
11800.6333,18.7333,20.48,0.0,21.12,0,1,512,0,80
11800.8333,4.3333,20.57,0.0167,21.12,1,0,608,0,80
11801.0333,0.0667,20.48,0.0167,21.12,2,4,576,0,80
11801.2333,0.0,20.56,0.0,21.12,0,0,576,0,80
11801.4333,0.0,20.48,0.0,21.12,0,16,512,0,80
11801.6333,0.0667,20.48,0.0167,20.48,0,8,512,0,80
11801.8333,0.6667,20.49,0.0,21.125,0,0,512,0,80
11802.0333,0.0333,20.49,0.0167,21.2,0,0,514,8,80
11802.2333,0.5333,20.48,0.0,21.2,0,0,528,0,80
11802.4333,0.5667,20.49,0.0167,21.125,0,1,512,0,80
11802.6333,0.0,20.49,0.0,21.12,4,1,512,0,80
11802.8333,-10.1333,20.49,0.0,21.12,0,0,512,0,80
11803.0333,-30.4,20.48,0.0,21.2,0,32,512,0,80
11803.2333,-30.8667,20.48,0.0,21.12,0,1,516,0,80
11803.4333,-25.0667,20.48,0.0,21.12,8,34,513,0,80
11803.6333,1.6,20.51,0.0,21.12,0,0,512,16,80
11803.8333,13.3333,20.56,0.0,21.2,0,3,608,16,80
11804.0333,16.0,20.48,0.0,21.12,0,0,514,16,80
11804.2333,14.4,20.48,0.0,21.2,0,0,512,16,80
11804.4333,15.4667,20.56,0.0,21.12,0,0,512,16,80
11804.6333,15.4667,20.48,0.0,21.16,1,0,512,16,80
11804.8333,9.0667,20.52,0.0,21.12,0,0,576,16,80
11805.0333,-4.8,20.52,0.0,21.12,0,0,512,16,80
11805.2333,-11.7333,20.48,0.0167,21.125,0,8,520,24,80
11805.4333,-22.9333,20.5,0.0,21.2,0,0,576,0,80
11805.6333,0.0667,20.48,0.0,21.2,0,16,520,0,80
11805.8333,0.0,20.48,0.0,21.12,0,0,512,32,80
11806.0333,0.0,20.48,0.0,21.12,0,8,544,32,80
11806.2333,0.0333,20.48,0.0,21.2,4,16,544,32,80
11806.4333,0.6,20.49,0.0167,21.12,0,8,512,64,80
11806.6333,0.6,20.485,0.0,21.12,0,0,544,64,80
11806.8333,0.5333,20.48,0.0,21.2,0,4,512,0,80
11807.0333,0.5333,20.49,0.0167,21.2,0,0,512,0,80
11807.2333,0.0,20.57,0.0,20.48,0,0,512,0,80
11807.4333,0.2667,20.48,0.0,21.18,0,0,512,0,80
11807.6333,13.8667,20.49,0.0,21.2,0,0,520,0,80
11807.8333,2.1333,20.48,0.0,21.12,2,0,544,0,80
11808.0333,-0.4667,20.48,0.0,21.12,0,0,544,0,80
11808.2333,-0.5333,20.48,0.0167,21.2,0,0,546,0,80
11808.4333,-0.8,20.56,0.0,21.2,0,0,544,8,80
11808.6333,-0.5333,20.48,0.0167,21.12,0,0,512,0,80
11808.8333,-0.5333,20.56,0.0,20.48,0,16,512,0,80
11809.0333,-0.5333,20.49,0.0167,21.12,4,2,512,0,80
11809.2333,-0.4667,20.48,0.0,21.2,0,0,512,0,80
11809.4333,-10.1333,20.48,0.0,21.205,0,0,516,0,80
11809.6333,-17.0333,20.48,0.0,20.48,4,2,512,0,80
11809.8333,-5.2667,20.56,0.0,20.48,0,0,576,0,80
11810.0333,0.0333,20.49,0.0,21.2,0,0,546,16,80
11810.2333,-0.4667,20.485,0.0167,21.125,0,8,512,16,80
11810.4333,-0.5333,20.49,0.0,21.2,5,8,512,16,80
11810.6333,0.0,20.56,0.0,21.205,4,0,512,16,80
11810.8333,0.5333,20.48,0.0,21.16,0,0,512,16,80
11811.0333,0.0,20.48,0.0,21.2,0,0,512,16,80
11811.2333,0.0667,20.48,0.0167,21.2,4,0,512,16,80
11811.4333,0.0,20.49,0.0167,21.205,1,0,512,16,80
11811.6333,0.5333,20.52,0.0,21.12,0,20,512,24,80
11811.8333,0.1333,20.48,0.0,21.12,0,0,520,0,80
11812.0333,0.6667,20.49,0.0,21.12,0,3,520,0,80
11812.2333,-19.2,20.57,0.0167,20.48,2,0,512,0,80
11812.4333,2.2667,20.48,0.0,21.12,0,0,512,0,80
11812.6333,16.0667,20.52,0.0,20.48,0,0,512,0,80
11812.8333,20.5667,20.52,0.0,21.165,0,32,512,0,80
11813.0333,20.2667,20.48,0.0,21.2,0,0,512,0,80
11813.2333,22.4,20.57,0.0,21.2,0,0,514,0,80
11813.4333,21.8667,20.48,0.0,21.2,0,24,296,0,80
11813.6333,13.8667,20.49,0.0,21.12,4,0,512,0,80
11813.8333,1.0667,20.485,0.0,21.12,0,0,512,0,80
11814.0333,-1.0667,20.48,0.0,21.205,0,0,512,0,80
11814.2333,-0.5333,20.49,0.0,21.12,0,0,512,0,80
11814.4333,-0.5333,20.48,0.0,21.16,0,0,520,0,80
11814.6333,-0.5333,20.48,0.0,21.12,0,0,516,0,80
11814.8333,-7.4,20.48,0.0167,21.16,0,16,544,8,80
11815.0333,0.2333,20.49,0.0,21.2,0,16,512,0,80
11815.2333,0.1333,20.49,0.0,21.12,0,1,520,0,80
11815.4333,0.0,20.54,0.0,21.14,0,24,546,0,80
11815.6333,0.5333,20.56,0.0,21.12,0,0,544,0,80
11815.8333,0.2,20.48,0.0,20.49,0,0,512,0,80
11816.0333,0.0667,20.49,0.0,21.2,0,2,544,0,80
11816.2333,0.0333,20.495,0.0,20.48,0,16,513,0,80
11816.4333,0.0,20.48,0.0,21.12,0,8,544,16,80
11816.6333,0.6667,20.48,0.0,21.12,0,16,512,16,80
11816.8333,0.5333,20.48,0.0,21.12,0,0,546,16,80
11817.0333,15.4667,20.49,0.0,21.2,2,0,512,16,80
11817.2333,15.0,20.48,0.0,21.13,0,16,544,16,80
11817.4333,10.6667,20.48,0.0,21.12,0,0,512,16,80
11817.6333,1.0667,20.57,0.0,21.125,4,0,512,16,80
