time,pressure1
6272.978,3.17E-05
6272.979,3.17E-05
6272.98,3.15E-05
6272.981,3.15E-05
6272.982,3.15E-05
6272.983,3.15E-05
6272.984,3.15E-05
6272.985,3.15E-05
6272.986,3.15E-05
6272.987,3.15E-05
6272.988,3.17E-05
6272.989,3.17E-05
6272.99,3.17E-05
6272.991,3.17E-05
6272.992,3.17E-05
6272.993,3.17E-05
6272.994,3.17E-05
6272.995,3.18E-05
6272.996,3.18E-05
6272.997,3.18E-05
6272.998,3.18E-05
6272.999,3.20E-05
6273,3.22E-05
6273.001,3.22E-05
6273.002,3.24E-05
6273.003,3.26E-05
6273.004,3.26E-05
6273.005,3.27E-05
6273.006,3.27E-05
6273.007,3.29E-05
6273.008,3.29E-05
6273.009,3.29E-05
6273.01,3.29E-05
6273.011,3.29E-05
6273.012,3.27E-05
6273.013,3.27E-05
6273.014,3.27E-05
6273.015,3.27E-05
6273.016,3.26E-05
6273.017,3.26E-05
6273.018,3.26E-05
6273.019,3.27E-05
6273.02,3.27E-05
6273.021,3.27E-05
6273.022,3.27E-05
6273.023,3.27E-05
6273.024,3.29E-05
6273.025,3.29E-05
6273.026,3.29E-05
6273.027,3.31E-05
6273.028,3.31E-05
6273.029,3.31E-05
6273.03,3.31E-05
6273.031,3.31E-05
6273.032,3.29E-05
6273.033,3.29E-05
6273.034,3.29E-05
6273.035,3.29E-05
6273.036,3.27E-05
6273.037,3.27E-05
6273.038,3.29E-05
6273.039,3.29E-05
6273.04,3.29E-05
6273.041,3.29E-05
6273.042,3.31E-05
6273.043,3.31E-05
6273.044,3.31E-05
6273.045,3.33E-05
6273.046,3.33E-05
6273.047,3.34E-05
6273.048,3.34E-05
6273.049,3.34E-05
6273.05,3.33E-05
6273.051,3.33E-05
6273.052,3.31E-05
6273.053,3.31E-05
6273.054,3.31E-05
6273.055,3.31E-05
6273.056,3.31E-05
6273.057,3.31E-05
6273.058,3.33E-05
6273.059,3.33E-05
6273.06,3.34E-05
6273.061,3.34E-05
6273.062,3.36E-05
6273.063,3.36E-05
6273.064,3.36E-05
6273.065,3.36E-05
6273.066,3.36E-05
6273.067,3.36E-05
6273.068,3.34E-05
6273.069,3.34E-05
6273.07,3.33E-05
6273.071,3.31E-05
6273.072,3.31E-05
6273.073,3.29E-05
6273.074,3.29E-05
6273.075,3.29E-05
6273.076,3.29E-05
6273.077,3.29E-05
6273.078,3.29E-05
6273.079,3.29E-05
6273.08,3.29E-05
6273.081,3.31E-05
6273.082,3.31E-05
6273.083,3.33E-05
6273.084,3.34E-05
6273.085,3.36E-05
6273.086,3.38E-05
6273.087,3.38E-05
6273.088,3.40E-05
6273.089,3.40E-05
6273.09,3.40E-05
6273.091,3.38E-05
6273.092,3.38E-05
6273.093,3.38E-05
6273.094,3.36E-05
6273.095,3.36E-05
6273.096,3.36E-05
6273.097,3.36E-05
6273.098,3.38E-05
6273.099,3.38E-05
6273.1,3.38E-05
6273.101,3.40E-05
6273.102,3.40E-05
6273.103,3.40E-05
6273.104,3.40E-05
6273.105,3.40E-05
6273.106,3.40E-05
6273.107,3.40E-05
6273.108,3.40E-05
6273.109,3.38E-05
6273.11,3.38E-05
6273.111,3.36E-05
6273.112,3.36E-05
6273.113,3.34E-05
6273.114,3.34E-05
6273.115,3.34E-05
6273.116,3.36E-05
6273.117,3.36E-05
6273.118,3.36E-05
6273.119,3.38E-05
6273.12,3.38E-05
6273.121,3.40E-05
6273.122,3.41E-05
6273.123,3.43E-05
6273.124,3.43E-05
6273.125,3.45E-05
6273.126,3.47E-05
6273.127,3.47E-05
6273.128,3.47E-05
6273.129,3.47E-05
6273.13,3.45E-05
6273.131,3.43E-05
6273.132,3.43E-05
6273.133,3.41E-05
6273.134,3.41E-05
6273.135,3.41E-05
6273.136,3.40E-05
6273.137,3.40E-05
6273.138,3.40E-05
6273.139,3.40E-05
6273.14,3.40E-05
6273.141,3.40E-05
6273.142,3.41E-05
6273.143,3.41E-05
6273.144,3.41E-05
6273.145,3.43E-05
6273.146,3.43E-05
6273.147,3.45E-05
6273.148,3.47E-05
6273.149,3.47E-05
6273.15,3.47E-05
6273.151,3.45E-05
6273.152,3.45E-05
6273.153,3.45E-05
6273.154,3.43E-05
6273.155,3.43E-05
6273.156,3.43E-05
6273.157,3.41E-05
6273.158,3.41E-05
6273.159,3.41E-05
6273.16,3.41E-05
6273.161,3.41E-05
6273.162,3.41E-05
6273.163,3.41E-05
6273.164,3.41E-05
6273.165,3.43E-05
6273.166,3.43E-05
6273.167,3.43E-05
6273.168,3.41E-05
6273.169,3.41E-05
6273.17,3.40E-05
6273.171,3.38E-05
6273.172,3.36E-05
6273.173,3.34E-05
6273.174,3.34E-05
6273.175,3.33E-05
6273.176,3.33E-05
6273.177,3.33E-05
6273.178,3.31E-05
6273.179,3.31E-05
6273.18,3.31E-05
6273.181,3.31E-05
6273.182,3.33E-05
6273.183,3.33E-05
6273.184,3.33E-05
6273.185,3.34E-05
6273.186,3.34E-05
6273.187,3.36E-05
6273.188,3.36E-05
6273.189,3.36E-05
6273.19,3.34E-05
6273.191,3.34E-05
6273.192,3.33E-05
6273.193,3.33E-05
6273.194,3.31E-05
6273.195,3.29E-05
6273.196,3.27E-05
6273.197,3.27E-05
6273.198,3.26E-05
6273.199,3.24E-05
6273.2,3.22E-05
6273.201,3.22E-05
6273.202,3.20E-05
6273.203,3.20E-05
6273.204,3.22E-05
6273.205,3.22E-05
6273.206,3.22E-05
6273.207,3.24E-05
6273.208,3.24E-05
6273.209,3.24E-05
6273.21,3.22E-05
6273.211,3.22E-05
6273.212,3.20E-05
6273.213,3.20E-05
6273.214,3.18E-05
6273.215,3.18E-05
6273.216,3.18E-05
6273.217,3.18E-05
6273.218,3.18E-05
6273.219,3.17E-05
6273.22,3.17E-05
6273.221,3.17E-05
6273.222,3.17E-05
6273.223,3.17E-05
6273.224,3.17E-05
6273.225,3.17E-05
6273.226,3.17E-05
6273.227,3.17E-05
6273.228,3.17E-05
6273.229,3.17E-05
6273.23,3.15E-05
6273.231,3.15E-05
6273.232,3.13E-05
6273.233,3.11E-05
6273.234,3.11E-05
6273.235,3.11E-05
6273.236,3.11E-05
6273.237,3.11E-05
6273.238,3.11E-05
6273.239,3.13E-05
6273.24,3.13E-05
6273.241,3.15E-05
6273.242,3.17E-05
6273.243,3.18E-05
6273.244,3.20E-05
6273.245,3.22E-05
6273.246,3.24E-05
6273.247,3.26E-05
6273.248,3.26E-05
6273.249,3.27E-05
6273.25,3.27E-05
6273.251,3.27E-05
6273.252,3.27E-05
6273.253,3.27E-05
6273.254,3.27E-05
6273.255,3.27E-05
6273.256,3.29E-05
6273.257,3.29E-05
6273.258,3.31E-05
6273.259,3.31E-05
6273.26,3.33E-05
6273.261,3.34E-05
6273.262,3.36E-05
6273.263,3.38E-05
6273.264,3.41E-05
6273.265,3.43E-05
6273.266,3.47E-05
6273.267,3.49E-05
6273.268,3.50E-05
6273.269,3.52E-05
6273.27,3.54E-05
6273.271,3.54E-05
6273.272,3.54E-05
6273.273,3.56E-05
6273.274,3.56E-05
6273.275,3.56E-05
6273.276,3.57E-05
6273.277,3.57E-05
6273.278,3.57E-05
6273.279,3.57E-05
6273.28,3.59E-05
6273.281,3.59E-05
6273.282,3.59E-05
6273.283,3.61E-05
6273.284,3.61E-05
6273.285,3.63E-05
6273.286,3.63E-05
6273.287,3.64E-05
6273.288,3.64E-05
6273.289,3.63E-05
6273.29,3.63E-05
6273.291,3.61E-05
6273.292,3.59E-05
6273.293,3.59E-05
6273.294,3.57E-05
6273.295,3.57E-05
6273.296,3.56E-05
6273.297,3.56E-05
6273.298,3.56E-05
6273.299,3.56E-05
6273.3,3.56E-05
6273.301,3.56E-05
6273.302,3.56E-05
6273.303,3.56E-05
6273.304,3.57E-05
6273.305,3.57E-05
6273.306,3.57E-05
6273.307,3.57E-05
6273.308,3.57E-05
6273.309,3.57E-05
6273.31,3.56E-05
6273.311,3.54E-05
6273.312,3.54E-05
6273.313,3.52E-05
6273.314,3.52E-05
6273.315,3.50E-05
6273.316,3.49E-05
6273.317,3.49E-05
6273.318,3.47E-05
6273.319,3.47E-05
6273.32,3.47E-05
6273.321,3.47E-05
6273.322,3.49E-05
6273.323,3.49E-05
6273.324,3.50E-05
6273.325,3.52E-05
6273.326,3.54E-05
6273.327,3.54E-05
6273.328,3.54E-05
6273.329,3.56E-05
6273.33,3.54E-05
6273.331,3.54E-05
6273.332,3.52E-05
6273.333,3.52E-05
6273.334,3.50E-05
6273.335,3.50E-05
6273.336,3.50E-05
6273.337,3.50E-05
6273.338,3.50E-05
6273.339,3.49E-05
6273.34,3.49E-05
6273.341,3.49E-05
6273.342,3.49E-05
6273.343,3.49E-05
6273.344,3.49E-05
6273.345,3.49E-05
6273.346,3.47E-05
